smiles,CYP1A2_IC50_PIC50,source,CYP1A2_Ki_PIC50,CYP2C9_IC50_PIC50,CYP2C9_Ki_PIC50,CYP2C19_IC50_PIC50,CYP2C19_Ki_PIC50,CYP2D6_IC50_PIC50,CYP2D6_Ki_PIC50,CYP3A4_IC50_PIC50,CYP3A4_Ki_PIC50,CYP2B6_IC50_PIC50,CYP2B6_Ki_PIC50
Brc1cc(Br)c2oc(Cn3ccnc3)cc2c1,5.09,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc(-c2csc(-c3cccnc3)n2)cn1,5.13,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc(-c2csc(-c3ccncc3)n2)cn1,5.57,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc(-c2nc(-c3cccnc3)cs2)cc1,5.1,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc(C(c2ccc(Br)cc2)n2ccnc2)cc1,8.05,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc(C2CCCc3cncn32)cc1,8.12,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc(Cn2ccnc2)cc1,6.47,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc2[nH]c(-c3ccccc3)cc2c1,4.4,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc2c(c1)CC/C2=C/c1c[nH]cn1,7.0,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc2c(c1)CC/C2=C/c1cccnc1,5.13,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc2c(c1)CC/C2=C/c1ccncc1,5.4350000000000005,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc2c(c1)CC/C2=C\c1c[nH]cn1,7.57,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc2c(c1)CC/C2=C\c1cccnc1,5.11,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc2c(c1)CC/C2=C\c1ccncc1,5.47,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccc2oc(Cn3ccnc3)cc2c1,5.41,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1cccc(-c2nc(-c3cccnc3)ns2)c1,5.17,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1cccc(Cn2cc(Cn3ccnc3)c3ccccc32)c1,7.15,chembl_CYP1A2_IC50,,,,,,,,,,,
Brc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,7.17,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12,4.21,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CC(O)[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,4.21,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,5.7,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CCOc1ccc(C(=O)c2ccc(Cn3ccnc3)cc2)cc1,6.68,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CCOc1ccc(C(=O)c2cccc(Cn3ccnc3)c2)cc1,6.19,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CCOc1ccc2cc(C(c3ccc(Cl)cc3)n3cncn3)oc2c1,8.99,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,6.0,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,6.56,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,7.51,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,6.73,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,6.75,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,6.625,chembl_CYP1A2_IC50,,,,,,,,,,,
C#CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,6.48,chembl_CYP1A2_IC50,,,,,,,,,,,
C#C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,5.72,chembl_CYP1A2_IC50,,,,,,,,,,,
C#C[C@@H]1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)CCC(=O)C=C12,5.72,chembl_CYP1A2_IC50,,,,,,,,,,,
C#C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,6.0,chembl_CYP1A2_IC50,,,,,,,,,,,
C#Cc1c(-c2ccccc2)[nH]c2ccccc12,5.79,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C(c1ccccc1)c1ccccc1)c1cccnc1,5.4350000000000005,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C(c1ccccc1)c1ccccc1)c1ccncc1,7.0,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C/c1ccccc1)\CCN(Cc1cccc2ccccc12)n1cncn1,4.88,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1/CCCc2ccccc21)\c1c[nH]cn1,6.72,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1/CCCc2ccccc21)\c1cccnc1,5.42,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1/CCc2ccccc21)\c1c[nH]cn1,6.89,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1/CCc2ccccc21)\c1cccnc1,5.45,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1/CCc2ccccc21)\c1ccncc1,4.89,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1\CC(c2ccccc2)c2ccccc21)\c1cccnc1,5.39,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1\CCCc2ccccc21)\c1c[nH]cn1,6.65,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1\CCCc2ccccc21)\c1cccnc1,5.18,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1\CCCc2ccccc21)\c1ccncc1,6.19,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1\CCc2ccccc21)\c1c[nH]cn1,6.02,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1\CCc2ccccc21)\c1cccnc1,5.69,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1\CCc2ccccc21)\c1ccncc1,5.17,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1c2ccccc2-c2ccccc21)c1cccnc1,5.32,chembl_CYP1A2_IC50,,,,,,,,,,,
C(=C1c2ccccc2-c2ccccc21)c1ccncc1,5.56,chembl_CYP1A2_IC50,,,,,,,,,,,
C(\Cn1ccnc1)=C1/CCCc2occc21,5.42,chembl_CYP1A2_IC50,,,,,,,,,,,
C(\Cn1ccnc1)=C1/CCCc2sccc21,5.41,chembl_CYP1A2_IC50,,,,,,,,,,,
C(\Cn1ccnc1)=C1\CCCc2occc21,5.62,chembl_CYP1A2_IC50,,,,,,,,,,,
C(\Cn1ccnc1)=C1\CCCc2sccc21,6.17,chembl_CYP1A2_IC50,,,,,,,,,,,
C/C(=C(/c1ccc(O)cc1)c1ccc(OCCN)cc1)c1ccccc1,6.47,chembl_CYP1A2_IC50,,,,,,,,,,,
C/C(=C(\c1ccccc1)c1ccc(NC(=O)C(=O)O)cc1)c1ccc(Cl)cc1,5.94,chembl_CYP1A2_IC50,,,,,,,,,,,
C/C(=C(\c1ccccc1)c1ccc(NC(=O)C(=O)O)cc1)c1cccc(Br)c1,5.67,chembl_CYP1A2_IC50,,,,,,,,,,,
